item_id,category,fabric,color,style_tag,price,adaptive_features
1,Shirt,Denim,Grey,Sport,52.03,side_seated_fit|adjustable_hem|elastic_waist|wheelchair_back_length|wide_arm_hole
2,Shoes,Polyester-Blend,Grey,Winter,78.69,extra_wide_leg_opening|magnetic_closure|simple_texture_id|adjustable_hem
3,T-Shirt,Cotton,Olive,Summer,64.3,side_seated_fit|removable_sleeve|simple_texture_id
4,Skirt,Jersey Knit,Red,Winter,63.16,elastic_waist|velcro_closure
5,Jacket,Cotton-Blend,Beige,Formal,88.91,magnetic_closure
6,Shoes,Jersey Knit,Grey,Casual,10.72,adjustable_hem
7,Trousers,Wool-Blend,Royal Blue,Winter,27.84,simple_texture_id|high_contrast_pattern
8,Hoodie,Cotton,Red,Formal,114.84,seamless_interior|tagless|side_seated_fit|simple_texture_id
9,Dress,Polyester-Blend,Maroon,Loungewear,49.46,velcro_closure|one_handed_zipper_pull|reflective_trim|seamless_interior
10,Dress,Cotton,White,Sport,111.97,none
11,Jacket,Linen,Navy,Summer,116.27,simple_texture_id|velcro_closure
12,Skirt,Jersey Knit,Grey,Loungewear,103.54,simple_texture_id|extra_wide_leg_opening|prosthetic_leg_access_zip|reflective_trim|front_opening
13,Jacket,Linen,Navy,Winter,51.13,elastic_waist
14,Trousers,Linen,Beige,Casual,43.5,extra_wide_leg_opening|side_seated_fit|reflective_trim|wheelchair_back_length
15,Jacket,Linen,Red,Loungewear,70.36,side_seated_fit
16,Hoodie,Cotton,Beige,Workwear,85.96,extra_wide_leg_opening|seamless_interior|no_buttons|removable_sleeve
17,Shirt,Cotton-Blend,Olive,Sport,18.88,extra_wide_leg_opening|wide_arm_hole
18,Shirt,Fleece,Charcoal,Winter,118.89,removable_sleeve|seamless_interior
19,Hoodie,Cotton,Grey,Casual,66.05,none
20,Shoes,Cotton,Charcoal,Formal,90.97,front_opening|simple_texture_id|removable_sleeve|one_handed_zipper_pull
21,Hoodie,Cotton-Blend,Charcoal,Formal,86.68,no_buttons|simple_texture_id|removable_sleeve
22,Jacket,Polyester-Blend,Beige,Winter,40.88,removable_sleeve
23,Shirt,Fleece,Royal Blue,Workwear,98.73,wide_arm_hole|front_opening|adjustable_hem
24,Dress,Wool-Blend,White,Workwear,110.28,prosthetic_leg_access_zip|adjustable_hem|wide_arm_hole|reflective_trim
25,Jeans,Cotton-Blend,Grey,Summer,64.17,wheelchair_back_length|elastic_waist
26,Hoodie,Cotton-Blend,Beige,Winter,80.8,side_seated_fit|no_buttons|seamless_interior
27,Dress,Fleece,Grey,Summer,97.13,simple_texture_id|side_seated_fit|wheelchair_back_length
28,Jeans,Fleece,White,Summer,45.86,simple_texture_id|removable_sleeve|front_opening|velcro_closure
29,Shirt,Jersey Knit,Maroon,Workwear,18.53,elastic_waist
30,Nightwear,Fleece,Charcoal,Casual,12.03,simple_texture_id|no_buttons
31,Skirt,Wool-Blend,Maroon,Loungewear,68.78,side_seated_fit|wheelchair_back_length
32,Shoes,Cotton-Blend,Grey,Sport,74.17,extra_wide_leg_opening
33,T-Shirt,Wool-Blend,Royal Blue,Winter,12.18,none
34,Nightwear,Fleece,Grey,Loungewear,48.34,removable_sleeve|simple_texture_id|tagless
35,Nightwear,Cotton,Navy,Workwear,66.49,none
36,Trousers,Jersey Knit,White,Sport,32.17,tagless|wheelchair_back_length|seamless_interior
37,T-Shirt,Linen,White,Winter,17.56,removable_sleeve|wheelchair_back_length
38,Nightwear,Linen,Grey,Winter,67.51,none
39,Nightwear,Fleece,Charcoal,Workwear,79.39,wheelchair_back_length|side_seated_fit
40,Shoes,Cotton,Black,Casual,117.3,tagless|seamless_interior|high_contrast_pattern
41,Jeans,Polyester-Blend,Charcoal,Winter,44.17,velcro_closure|wide_arm_hole
42,Dress,Wool-Blend,White,Summer,38.33,magnetic_closure|elastic_waist|wheelchair_back_length
43,Hoodie,Cotton-Blend,Black,Formal,16.79,prosthetic_leg_access_zip|wheelchair_back_length
44,Hoodie,Polyester-Blend,Royal Blue,Loungewear,115.82,none
45,Jacket,Jersey Knit,Beige,Loungewear,85.95,one_handed_zipper_pull|high_contrast_pattern|tagless
46,Nightwear,Cotton-Blend,Beige,Formal,27.41,tagless|simple_texture_id
47,T-Shirt,Linen,Royal Blue,Formal,36.03,no_buttons
48,Shirt,Linen,Olive,Summer,88.03,tagless|adjustable_hem
49,Jacket,Jersey Knit,White,Summer,39.35,extra_wide_leg_opening|front_opening|seamless_interior
50,Hoodie,Cotton,Navy,Loungewear,90.64,seamless_interior|elastic_waist|no_buttons|front_opening|tagless
51,Jeans,Denim,Charcoal,Sport,76.51,removable_sleeve|no_buttons
52,Dress,Wool-Blend,Charcoal,Summer,35.75,velcro_closure|reflective_trim
53,Dress,Cotton,Navy,Loungewear,92.88,elastic_waist
54,Trousers,Linen,Beige,Summer,21.0,none
55,Skirt,Jersey Knit,Black,Loungewear,12.56,none
56,Dress,Cotton-Blend,Olive,Workwear,86.81,velcro_closure|one_handed_zipper_pull|simple_texture_id|wide_arm_hole
57,Shoes,Cotton-Blend,Grey,Casual,18.96,no_buttons|wide_arm_hole
58,Jacket,Jersey Knit,Grey,Formal,61.03,prosthetic_leg_access_zip|simple_texture_id
59,Skirt,Cotton,Black,Casual,56.59,removable_sleeve
60,Jacket,Wool-Blend,Maroon,Loungewear,76.98,tagless
61,Trousers,Jersey Knit,Charcoal,Sport,13.07,tagless|removable_sleeve
62,Skirt,Linen,Charcoal,Sport,78.1,seamless_interior
63,Nightwear,Wool-Blend,Charcoal,Sport,103.93,removable_sleeve|reflective_trim
64,Jacket,Cotton-Blend,Olive,Workwear,26.25,elastic_waist|magnetic_closure|simple_texture_id
65,Dress,Cotton,Charcoal,Loungewear,79.95,none
66,Dress,Denim,Black,Workwear,73.61,none
67,Jeans,Cotton,Charcoal,Winter,72.45,elastic_waist|seamless_interior|prosthetic_leg_access_zip|side_seated_fit
68,Jeans,Cotton,Royal Blue,Sport,80.05,adjustable_hem
69,Skirt,Denim,Olive,Workwear,69.11,extra_wide_leg_opening|tagless
70,Jeans,Jersey Knit,Royal Blue,Workwear,51.24,elastic_waist|velcro_closure|tagless|wide_arm_hole
71,Jacket,Jersey Knit,Red,Workwear,109.4,prosthetic_leg_access_zip|high_contrast_pattern|seamless_interior|front_opening|wide_arm_hole
72,Jeans,Denim,Red,Workwear,15.77,elastic_waist
73,Dress,Denim,Red,Summer,10.04,none
74,Dress,Denim,Royal Blue,Sport,84.5,none
75,Hoodie,Jersey Knit,Maroon,Summer,43.73,none
76,Shoes,Polyester-Blend,Olive,Summer,10.61,wide_arm_hole|wheelchair_back_length|adjustable_hem
77,Shirt,Linen,Navy,Sport,39.57,simple_texture_id|tagless|wheelchair_back_length
78,Hoodie,Linen,Royal Blue,Formal,86.03,none
79,Nightwear,Linen,Grey,Casual,106.28,one_handed_zipper_pull|wide_arm_hole
80,Nightwear,Denim,White,Casual,97.99,front_opening|reflective_trim|velcro_closure
