user_id,item_id,suitability_rating
1,305,2.37
1,341,2.66
1,48,1.98
1,68,2.09
1,480,1.92
1,486,3.32
1,311,1.56
1,32,2.51
1,250,1.97
1,91,2.39
1,323,2.42
1,169,2.16
2,130,2.2
2,281,2.56
2,441,2.22
2,385,2.77
2,226,2.07
2,417,2.25
2,2,3.37
2,436,2.8
2,347,2.46
2,315,2.93
2,475,1.99
2,318,3.5
3,131,2.34
3,292,1.76
3,38,2.59
3,240,1.77
3,192,1.84
3,421,1.74
3,324,5.0
3,28,1.45
3,212,1.75
3,485,2.27
3,171,2.58
3,154,3.65
4,67,3.16
4,153,3.28
4,124,2.3
4,286,2.49
4,71,3.43
4,340,3.61
4,81,2.52
4,449,2.31
4,450,2.67
4,12,2.19
4,103,2.61
4,170,2.06
5,242,1.95
5,449,2.2
5,76,3.83
5,213,2.62
5,482,2.1
5,281,3.2
5,475,2.49
5,270,2.62
5,41,2.42
5,223,2.67
5,57,2.24
5,345,2.54
6,253,2.31
6,196,2.52
6,225,2.37
6,500,2.21
6,14,2.76
6,432,3.87
6,403,2.73
6,260,1.76
6,201,4.11
6,433,2.07
6,318,3.57
6,212,2.13
7,309,2.29
7,14,2.15
7,415,2.78
7,33,2.1
7,461,2.39
7,156,2.75
7,250,3.2
7,218,2.15
7,222,2.01
7,294,2.04
7,133,2.21
7,466,1.64
8,371,2.66
8,57,3.22
8,150,2.89
8,248,3.68
8,98,1.83
8,130,2.95
8,9,1.57
8,65,1.49
8,365,2.08
8,374,3.12
8,126,2.59
8,257,1.84
9,371,3.68
9,257,2.29
9,125,1.94
9,321,2.31
9,323,2.53
9,195,1.45
9,277,2.52
9,380,4.78
9,272,1.78
9,322,2.54
9,3,2.47
9,197,3.09
10,152,1.81
10,425,2.46
10,155,1.99
10,191,3.71
10,132,4.59
10,311,1.87
10,267,2.27
10,496,1.4
10,158,2.4
10,283,1.39
10,453,2.17
10,153,1.61
11,248,2.85
11,240,2.41
11,71,2.84
11,137,2.12
11,388,1.98
11,349,4.17
11,84,2.03
11,235,1.55
11,457,2.35
11,316,1.83
11,358,1.86
11,441,3.25
12,476,3.13
12,386,2.9
12,168,2.18
12,41,2.78
12,351,2.19
12,43,2.73
12,251,2.13
12,470,2.15
12,7,2.36
12,160,2.38
12,15,1.91
12,500,3.13
13,1,1.97
13,335,2.99
13,34,4.25
13,265,2.02
13,429,3.26
